COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,QR_PRO,SEL,SEL_IHE,UNIV_PROG
SB11201220420927,M,Complete primary ,Complete primary ,Independent,Home,Stratum 2,Level 2,Three,No,No,No,No,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,35,98,3,2,UNIVERSIDAD ECCI-BOGOTÁ D.C._MECHATRONICS ENGINEERING
SB11201220421033,F,Complete Secundary,Complete Secundary,Small entrepreneur ,Technical or professional level employee,Stratum 2,It is not classified by the SISBEN,Six,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,42,23,4,2,UNIVERSIDAD LIBRE-PEREIRA_CIVIL ENGINEERING
SB11201220421048,F,Incomplete primary ,Incomplete primary ,0,0,Stratum 1,It is not classified by the SISBEN,Four,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,73,97,3,2,"UNIVERSIDAD DISTRITAL""FRANCISCO JOSE DE CALDAS""-BOGOTÁ D.C._ELECTRONIC ENGINEERING"
SB11201220421387,M,Incomplete Professional Education,Incomplete Secundary,Entrepreneur ,Operator,Stratum 2,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,44,25,3,2,UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES_INDUSTRIAL ENGINEERING
SB11201220422784,M,Complete Secundary,Complete Secundary,Independent,Other occupation,Stratum 1,Level 1,Five,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,72,84,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220422937,M,0,0,0,Home,Stratum 2,Level 2,Six,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,59,64,1,2,UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C._MECHANICAL ENGINEERING
SB11201220422943,M,Complete Secundary,Complete Secundary,Auxiliary or Administrative,Home,Stratum 2,Level 2,Five,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,86,100,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_ELECTRONIC ENGINEERING
SB11201220422963,M,Complete primary ,Incomplete primary ,Small entrepreneur ,Home,Stratum 2,It is not classified by the SISBEN,Three,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Between 2 and less than 3 LMMW,No,PUBLIC,ACADEMIC,52,91,2,2,UNIVERSIDAD DE IBAGUE-IBAGUE_MECHANICAL ENGINEERING
SB11201220422999,M,Incomplete primary ,Complete Secundary,Independent,Home,Stratum 1,Level 1,Seven,No,No,No,No,No,No,No,Yes,Yes,No,less than 1 LMMW,"Yes, less than 20 hours per week",PUBLIC,ACADEMIC,52,87,2,2,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA-SANTA MARTA_INDUSTRIAL ENGINEERING
SB11201220424505,F,0,Postgraduate education,0,Home,Stratum 3,It is not classified by the SISBEN,Four,No,No,No,No,No,No,No,Yes,Yes,Yes,less than 1 LMMW,0,PUBLIC,TECHNICAL/ACADEMIC,58,82,2,2,UNIVERSIDAD DEL VALLE-CALI_INDUSTRIAL ENGINEERING
SB11201220424745,M,Complete Secundary,Complete Secundary,Operator,Operator,Stratum 2,It is not classified by the SISBEN,Four,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PUBLIC,TECHNICAL,55,90,2,2,CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA-POPAYAN_ELECTRONIC ENGINEERING
